,Respondent,Redis,MariaDB,Elasticsearch,SQL Server,Google Cloud Storage,PostgreSQL,Apache Hive,Neo4j,MongoDB,IBM Db2,Amazon DynamoDB,Amazon RDS/Aurora,Google BigQuery,MySQL,Cassandra,Oracle,Memcached,Amazon Redshift,Apache HBase,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",SQLite
8990,12831,,,,1,,,,,,,,,,,,,,,,,
8991,12833,,1,,1,,1,1,,1,,,,,1,1,,,,,,
8992,12834,,,,,,,,,,,,,,,1,1,,,,,
8993,12835,,,,1,,1,,,,,,,1,1,,,,,,,
8994,12837,,,,1,,1,,,,,,,,,,,,,,,
8995,12839,,,,,1,1,,1,1,,,,,1,,1,,1,,,
8996,12840,,,,1,,,,,,,,,,,,,,,,,
8997,12841,,,,1,,,,,,,,,,1,,,,,,1,
8998,12843,,,,,,,,,,,,,,,,,,,,,
8999,12844,,,,,,,,,,,,,,,,,,,,,
9000,12845,,,,,,,,,,,,,,,,,,,,,
9001,12848,,1,,1,,,,,,,,,,1,,,,,,,1
9002,12849,,,,,,,,,,,,,,,,,,,,,
9003,12850,,,,1,,,,,,,,,,,,,,,,,
9004,12851,,,,1,,,,,1,,,,,,,,,,,,
9005,12852,,,,1,,,,,,,,,,1,,1,,,,,
9006,12855,,,,,,,,,,,,,,,,,,,,,
9007,12856,1,,,,,1,,,1,,,,,1,1,,,,,,
9008,12858,,1,1,1,1,1,1,,1,,,,1,1,,1,,1,1,,1
9009,12859,,,,1,,,,,,,,,,,,1,,,,,
9010,12860,,,,,,,,,,,,,,,,,,,,,
9011,12861,,,,,,,,,,,,,,,,,,,,,
9012,12863,,,,,,1,,,,,,,,,,,,,,,
9013,12864,,,,,,,,,,1,,,,,,,,,,,
9014,12865,1,,,,,,,,,,,,,,,1,,,,,1
9015,12866,,,,1,,1,,,,,,,,1,,,,,,,
9016,12867,,,,,,,,,,,,,,,,,,,,,
9017,12868,,,,1,,1,,,,,,,,,,,,,,,
9018,12869,,,,,,,,,,,,,,1,,,,,,,
9019,12870,,,,,,,,,,,,,,,,,,,,,
9020,12872,,,,1,,,,,,,,,,1,,,,,,,
9021,12873,,,,,,,,,,,,1,,1,,,,,,,
9022,12875,,,,,,,,,,,,,,,,,,,,,
9023,12876,,,1,,,,,,1,,,,,1,,,,,,,
9024,12878,,,,,,,,1,1,,,,,1,,,,,,,
9025,12879,,,,,,,,,,,,,,,,,,,,,
9026,12880,,,,,,,,,,,,,,1,,,,,,,
9027,12881,,,,,1,,,,,,,,,,,,,,,,
9028,12882,,,,1,,,,,1,,,,,,,,,,,,
9029,12883,,,,,,,,,,,1,,,,,,,,,,
9030,12885,,1,1,,,,,1,1,,,1,,1,,,,,,,1
9031,12888,,,,,1,,,,,,,,,,,,,,,,
9032,12889,,,,1,,,,,,,,,,,,,,,,,
9033,12890,,,,,,,,,,,1,,,,,,,,,,
9034,12891,,,,1,,,,,,,,,,,,,,,,,
9035,12892,,,,1,,,,,,,,,,,,,,,,,
9036,12895,,,,,,,,,,,,,,,,,,,,,
9037,12896,,,,,,1,,,,,,,,,,,,,,,
9038,12898,,,,1,,,,,,,,,,1,,1,,,,,
9039,12899,,,,,,,,,,,,,,1,,,,,,,1
9040,12901,,,,,,,,,,,,,,1,,,,,,,
9041,12903,,,1,,,1,,,,,,,,,,,,,,,
9042,12904,,,,,,1,,,,,,,,,,,,,,,
9043,12906,,,,,,,,,,,,,,1,,,,,,,
9044,12908,,,,,,,,,,,,,,,,,,,,,
9045,12910,1,,1,,,,,,1,,,,,1,,,1,,,,1
9046,12911,1,,,,,1,,,,,,,,,,,,,,,
9047,12913,,,,,,,,,,,,,,,,,,,,,
9048,12914,,,,1,,,,,,,1,,,,,,,,,1,
9049,12915,,,,,,,,,1,,,,,1,,,,,,,
9050,12916,,,,,,,,,,,,,,,,,,,,,
9051,12917,,,,1,,,,,1,,,,,,,,,,,,
9052,12918,,,,,,,,,,,,1,,,,,,,,1,
9053,12919,,,,,,,,,,,,,,,,,,,,,
9054,12920,,,,,,1,,,,,,,,,,,,,,,
9055,12921,,,,,,,,,,,,,,,,,,,,,1
9056,12922,,,,,,,,,,,,,,,,,,,,,
9057,12923,,,,,,,,,,,,,,1,,,,,,,
9058,12924,,,,,,,,,,,,,,,,,,,,,
9059,12926,,,,,,,,,,,,,,,,,,,,,
9060,12932,,,,1,,1,,,,,,,,1,,,,1,,1,
9061,12933,,1,,1,,1,,,1,,,,,1,,,,,,,
9062,12934,,,,,1,1,,,1,,,,,,,,,,,,
9063,12935,,,,1,,1,,,,,,,,1,,,,,,,1
9064,12937,,,,,,,,,,,,,,,,,,,,,
9065,12938,1,,,,,,,,,,,1,,1,,,,,,,
9066,12939,1,,,1,,,,,,,,,,,,,,,,,1
9067,12940,,,,,,,,,,,,,,,,,,,,,
9068,12941,1,,,,,1,,,,,,,,1,,,,,,,1
9069,12942,,,,,,1,1,,,,,,,1,,,,1,,,
9070,12943,,,,,,,,,,,,,,,,,,,,,
9071,12944,,,,1,,,,,,,,,,,,,,,,,
9072,12945,,,,,,1,,,,,,,,,,,,,,,
9073,12946,,1,,,,,,,,,,,,1,,,,,,,1
9074,12951,1,,,,,,,,1,,,,,1,,,,,,,
9075,12952,,,,,1,,,,,,,,,1,,,1,,,,
9076,12953,,,,1,,1,,,,,,,,1,,,,,,,1
9077,12956,,,,,,,,,,,,,,1,,,,,,,
9078,12957,,,,1,,,,,,,,,,,,,,,,,
9079,12959,,,,,,,,,,,,,,,,,,,,,
9080,12960,,,1,,,1,,,,,1,1,,1,,1,1,,,,1
9081,12962,,,,,,,,,,,,,,,,,,,,,1
9082,12963,,,,1,,,,,,,,,,1,,,,,,,
9083,12964,,,,,,,,,,,,,,1,,,,,,,
9084,12967,,,,,,,,,,,,,,,,,,,,,
9085,12968,,,,1,,,,,,,,,,1,,,,,,,
9086,12969,,,,,,,,,,,,,,,,,,,,,
9087,12970,,,,1,,,1,,,,,,,,,,,,1,,
9088,12971,,,,,,,,,,,,,,,,,,,,,
9089,12972,,,,,,,,,1,,,,,1,,,,,,,
9090,12974,,,,,,,,,,,,,,,,,,,,,
9091,12975,,,,,,,,,,,,,,,,,,,,,
9092,12977,1,,,,,,,,,,,,,1,,,,,,,
9093,12979,,,,,,,,,,,,,,1,,,,,,,
9094,12980,,,,,,,,,,,,,,1,,,,,,,
9095,12982,,,1,,,1,,,,,1,,,1,,,,,,,1
9096,12983,,,,,1,,,,,,,,,,,,,,,,
9097,12985,,,,,,,,,,,,,,,,,,,,,
9098,12986,1,,,,,1,,,1,,,1,,1,,,,1,,,
9099,12987,1,,,,,1,,,,,,,,,,,,,,,
9100,12989,,,,,,,,,,,,,,,,,,,,,
9101,12990,,,,1,,,,,,,,,,1,,,,,,,
9102,12991,,,,1,,,,,,,,,,,,,,,,,
9103,12992,,1,,,,,,,,,,,,1,,,,,,,
9104,12993,,,,,,,,,,,,,,,,,,,,,1
9105,12996,1,,1,1,,,,,,,,1,,1,,,,,,,
9106,12997,,,,,,,,,,,,,,,,,,,,,
9107,12998,,,,1,,,,,,,,,,,,,,,,,
9108,13000,,,,,,,,,,,,,,,,,,,,,
9109,13001,1,,,1,,,,,1,,,,,,1,,1,,,1,
9110,13003,,,,,,,,,1,,,,,,,,,,,,
9111,13004,,,,,,,,,,,,,,,,,,,,,
9112,13005,1,,,1,1,1,,,1,,,,,1,,,,,,1,
9113,13006,,1,,,,,,,,,,,,,,,,,,,
9114,13007,,,,,,,,,,,,,,1,,,1,,,,1
9115,13008,,,,,,,,,,,,,,,,,,,,,
9116,13009,,,,,,,,,,,,,,,,,,,,,
9117,13010,,,,,,,,,,,,,,,,,,,,,
9118,13011,,,,,,,,,,,,,,,,,,,,,
9119,13013,,,,,,,,,,,,,,,,,,,,,
9120,13014,,,,,,,,,,,,,,,,1,,,,,
9121,13016,1,,,1,,,,,1,,,,,,,,,,,,
9122,13017,,,,,,,,,,,,,,,,,,,,,
9123,13018,,,,,,,,,,,,,,,,,,,,,
9124,13019,,,,1,,,,,,,,,,,,,,,,,
9125,13020,,,,,,,,,,,,,,1,,,,,,,
9126,13021,,,,1,,,,,1,,,,,,,,,,,1,
9127,13022,,1,,,,,,,,,,,,1,,,,,,,
9128,13023,,,,1,,,,,1,,,,,1,,,,,,,
9129,13026,,,,,,,,,,,,,,1,,,,,,,
9130,13027,,,,1,,,,,,,,,,,,,,,,,
9131,13028,,,1,1,,,,,,,,,,1,,1,,,,1,
9132,13031,,,,1,,,,,,,,,,1,,,,,,,1
9133,13032,,,,1,,1,,,,,,,,,,,,,,1,
9134,13033,,,,,,,,,,,,,,,,,,,,,
9135,13036,,,,,,,,,,,,,,,,,,,,,
9136,13037,1,,1,,,1,,,,1,,,,,,,,,,,
9137,13038,,,,1,,,,,,,,,,,,,,,,,
9138,13039,,,,,,,,,,,,,,,,,,,,1,
9139,13040,,,,,,,,,,,,,,,,,,,,,
9140,13043,,,,1,,,,,1,,,,,1,,,,,,,
9141,13044,,,,1,,,,,,,,,,,,,,,,,
9142,13046,,,,,,,,,,,,,,,,,,,,,
9143,13047,,,,1,,1,,,,1,,,,,,,,,,,
9144,13048,,1,,,1,1,,,,,,,1,1,,,,,,,
9145,13049,,,,1,,,,,,,,,,,1,,,,,1,
9146,13050,,,,,,,,,,,,,,,,,,,,,
9147,13052,,,,,,1,,,,,,,,,,,,,,,
9148,13053,,,,1,,1,,,,,,,,1,,,,,,,
9149,13059,,,,,,,,,,,,,,,,,,,,,
9150,13061,,,,,,1,,,,,,,,1,,,,,,,
9151,13062,,,,,,,,,1,,,,,,1,,,,,,
9152,13068,,,1,,,,,,,,1,1,,1,,,,,,,1
9153,13069,,,,,,,,,,,,,,,,,,,,,
9154,13070,,,,,,,,,,,,,,,,,,,,,
9155,13072,,,,,,,,,,,,,,,,,,,,,
9156,13073,,,,,,,,,,,,,,,,,,,,,
9157,13074,,,,1,1,,1,,1,,,,1,1,,,,,,,
9158,13075,,,,,,,,,,,,,,,,,,,,,
9159,13077,,,,,,,,,,,,,,,,,,,,,
9160,13078,,,,,,,,,,,,,,,,1,,,,,
9161,13080,1,1,,1,,,,,1,,,,,1,,,,,,,
9162,13083,,,,1,,,,,,,,,,,,,,,,,
9163,13085,,,,,,,,,,,,,,,,,,,,,
9164,13088,,,,1,,,,,,,,,,,,,,,,,
9165,13089,1,,,,,1,,,1,,,,,,,,,,,,
9166,13090,1,,,1,,,,,,,,,,,,,,,,1,
9167,13091,,,,,,1,,,,,,1,,,,,,,,,
9168,13092,1,,,1,,1,,,,,,,,1,,,,,,,1
9169,13094,,,,,,,,,,,,,,1,,,,,,,1
9170,13095,,,,,,,,,,,,,,,,,,,,,
9171,13097,,,,,,,,,,,,,,,,,,,,,
9172,13098,,,,,,1,,,,,,,,,,,,,,,
9173,13099,1,,,,,1,,,,,,,,,,,,,,,
9174,13100,,,1,1,,,,,,,,1,,,,,,,,,
9175,13102,,,,,,1,,,,,,,,1,,,,,,,
9176,13103,,,,1,,1,,,1,,,,,,,1,,,,,1
9177,13104,,,,1,,,,,,,,,,1,,,,,,,
9178,13105,,,,,,,,,,,,,,,,,,,,,
9179,13107,,,,,,1,,,1,,,,,,,,,,,,
9180,13108,,,,,,,,,,,,,,,,,,,,,
9181,13109,,,,,,1,,,,,,,,,,,,,,,
9182,13112,,,,,,,,,,,,,,,,,,,,,
9183,13114,,,,,,1,,,,,,,,,,,,,,,
9184,13115,1,,1,,,1,,1,1,,,,1,1,,,1,,,,
9185,13119,1,1,,,,,,,,,,,,1,,,1,,,,
9186,13120,,,,1,,,,,,,,1,,1,,,,,,,1
9187,13121,,,,1,,,,,,,,,,1,,,,,,,
9188,13122,,,,,,,,,,,,,,,,,,,,,
9189,13124,,,,,,,,,,,,,,,,,,,,,
9190,13126,1,,,1,,,,,,,,,,,,,,,,,
9191,13127,1,1,1,,,1,,1,,,,,,,,,,,,,1
9192,13128,,,1,1,,,,,,,,,,,,1,,,,,1
9193,13129,1,,,1,,,,,,,,,,,,,,,,,
9194,13130,1,1,,,,1,,,1,,,,,,,,,,,,
9195,13131,,,,,1,,,,,,,,,,,,,,,,1
9196,13132,,,1,,,,,,,,1,,,1,,,1,,,,1
9197,13134,,,,,,,,,,,,,,1,,,,,,,
9198,13136,,,,,,,,,,,,,,,,,,,,,
9199,13137,,,,1,,,,,,,,,,1,,,,,,,
9200,13138,1,,,,,1,,,1,,,,,1,,,,,,,
9201,13139,,,,,,,,,,,,,,,,,,,,,
9202,13140,,,,1,,,,,,,,,,1,,,,,,,
9203,13141,,,,,,,,,,,,,,,,,,,,,
9204,13142,,,,,,1,,,,,,,,,,1,,,,,
9205,13143,,,,,,1,1,,1,,,,,1,,,,,,1,
9206,13145,,,,,,,,,1,,,,,1,,,,,,,
9207,13147,,,1,,,1,,,1,,,,,,,,,,,,
9208,13148,1,,,1,,1,,,,,,,,1,,,,,,,
9209,13149,,,,,,1,,,,,,,,1,,,,,,,
9210,13151,,,,1,,,,,,,,,,,,1,,,,,
9211,13152,,,,1,,,,,,,,,,,,1,,,,,
9212,13154,,,1,,,1,,,,1,,,,1,,1,,,,,
9213,13155,,,,,,,,,,,,,,,,,,,,,
9214,13156,1,,,,,1,,,,,,,,,,,,,,,1
9215,13157,,,1,1,,1,,,,,,,,,1,,,,,,
9216,13158,,,,,,,,,,,,,,,,,,,,,
9217,13161,,,,,,,,,,,,,,,,,,,,,
9218,13163,,,,1,,1,,,,,,,,1,,,,,,,1
9219,13164,,,1,,,1,,,,,,,,,,,,,,,
9220,13165,,,,1,,,,,1,,,,,,,,,,,,1
9221,13167,,,,,,,,,,,,,,,,,,,,,
9222,13168,,,,1,,,,,,,,,,1,,1,,,,1,
9223,13170,,,,,,,,,,,,,,1,,,,,,,
9224,13171,,,,,,,,,,,,,,1,,,,,,,
9225,13172,,,,1,,,,,,,,,,,,,,,,,1
9226,13173,,,,1,,,,,1,,,,,1,,,,,,,
9227,13174,,,,,,,,,,,,,,,,,,,,,
9228,13177,,,,1,,,,,,,,,,,,,,,,,1
9229,13178,,,,1,,,,,,,,,,1,,1,,,,,
9230,13179,,,,,,,,,,,,,,,,,,,,,
9231,13180,,1,,1,,,,,,,,,,1,,,,,,,
9232,13181,1,,,,,1,,,,,,,,,,,,,,,
9233,13182,,,1,,,1,,,1,,,,,,,1,,,,,
9234,13183,,,,1,,,,1,,,,,,1,,,,,,,
9235,13184,,,1,,,,,,,,,,,1,,,,,,1,
9236,13185,1,,,1,,1,,,,,,,,1,,1,1,,,,1
9237,13187,,,,,,1,,,,,,,,,,,,,,,
9238,13188,,,,,,,,,,,,,,,,,,,,,
9239,13193,,,,,,,,,,,,,,,,,,,,,
9240,13194,,,,,,,,,,,,,,,,,,,,,1
9241,13200,1,,1,,,,,,1,,,,,1,,,,,,,
9242,13201,1,,,,,,,,,,1,,,,,,,,1,,
9243,13202,,,,,1,,,,,,,,,1,,1,,,,,
9244,13204,1,1,1,,,,,,,,,,,1,,,1,,,,
9245,13205,,,,,,,,1,,,,1,,1,,,,,,,
9246,13206,,1,,,,,,,,,,,,1,,,,,,,
9247,13207,,,,1,,,,,,,,,,,,,,,,,
9248,13208,,,,,,,,,,,,,,,,,,,,,
9249,13209,,,,1,,,,,,,,,,,,,,,,,
9250,13211,1,,,,,1,,,1,,,,,1,,,,,,,
9251,13212,,,,,,,,,1,,,,,1,,,,,,,
9252,13213,1,,,,,,,,1,,,,,,,,,,,,
9253,13214,,,,,,,,,,,,,,,,,,,,,
9254,13215,,,,,,,,,,,,,,1,,,,,,,
9255,13216,,,,,,,,,,,,,,,,,,,,,
9256,13217,,,,1,,,,,,,,,,,,,,,,,
9257,13218,,,,1,,,,,1,,,,,1,,,,,,,
9258,13219,1,,,,,1,,,,,,1,,,,,,,,,
9259,13220,,,,,1,1,1,,,,1,,1,1,,,1,1,,,
9260,13221,,1,,,,,,,,,,,,1,,1,,,,,1
9261,13222,1,,,1,,1,,,,,,,,1,,,,,,,
9262,13223,,,1,,,,,,,,1,,,,,,,,,,
9263,13224,,,,,,,,,,,,,,,,,,,,,
9264,13225,,,,,,,,,,,,,,,,,,,,,1
9265,13227,,,,1,,,,,1,,,,,,,,,,,1,
9266,13229,,,,,,,,,,,,,,,,,,,,,
9267,13230,,,,,,,,,,,,,,,,,,,,,
9268,13231,,,1,1,,,,,1,,,,,,1,1,,,,,
9269,13234,,,,,,,,,,,,,,,,,,,,,
9270,13237,,,,,,,,,1,,,,,,,,,,,,
9271,13238,,,,,,1,,,,,,,,,,,,1,,,
9272,13239,,,,,,,,,,,,,,,,,,,,,
9273,13240,,,,,,,,,1,,,,,1,,,,,,,
9274,13241,,,,,,,,,,,,,,,,,,1,,,
9275,13242,,,,1,,,,,,,,,,1,,,,,,1,1
9276,13244,,,,,,,1,,,,,,,,,,,,,,
9277,13245,,,,,1,,,,,,,,,1,,,,,,,
9278,13246,,,,,,1,,,,,,,,,,,,,,,
9279,13247,,,,,,,,,,,,,,,,,,,,,
9280,13249,,,,,,,,,,,,,,,,,,,,,
9281,13252,1,,,1,,,,,,,,,,,,,,,,1,
9282,13253,,,,,,1,,,,,,,,1,,,,,,,
9283,13254,,,1,,,,,,,,,,,,,1,,,,,
9284,13257,,,,,,,,,,,,,,,,,,,,,
9285,13258,1,1,1,1,,,,,1,,,,,1,,,,,,,1
9286,13259,,,,,,,,,,,,,,,,,,,,,
9287,13261,,,,,,,,,,,,,,,,,,,,,
9288,13265,,1,1,,,,,,1,,,,,1,,,,,,,
9289,13266,1,,,,,,,,,,,,,,,,,,,,1
9290,13267,,,,1,,,,,,,,,,,,,,,,,
9291,13268,,,,,,,,,1,,,,,,,,,,,,
9292,13269,,,,,,1,,,1,,,,,1,1,,,,,,
9293,13271,,,,,,,,,,,,,,,,,,,,,
9294,13272,,,,,,,,,,,,,,,,,,,,,
9295,13278,,,,,,1,,,,,,,,1,,,,,,,
9296,13279,,,,,,,,,,,,,,1,,,,,,,
9297,13280,,,,1,,,,,,,,,,,,,,,,1,
9298,13281,,,,,,1,,,,,,,,,,,,,,,
9299,13283,,,,1,,,,1,,,,,,,,1,,,,,1
9300,13284,,,,,,,,,,,,,,,,,,,,,
9301,13285,,,,,,,,,,,,,,,,1,,,,,
9302,13286,1,,1,1,,1,,,1,1,,,,1,,,,,,,
9303,13287,,,,,,,,,,,,,,,,,,,,,1
9304,13288,,,,,,,,,,,,,,,,,,,,,
9305,13289,,,,,,,,,,,,,,1,,,,,,,
9306,13290,,,,,,,,,,,,,,,,,,,,,
9307,13294,,,,1,,,,,,,,,,,,,,,,,
9308,13295,,1,,,,,,,,,,,,1,,,,,,,
9309,13296,,,,,,1,,,,,,,,1,,,,,,,
9310,13297,,,,1,,,,,,,,,,1,,,,,,1,
9311,13300,1,,,,1,,,,1,,1,,,1,,,,,,,1
9312,13301,,1,,,,,,,,,,1,,1,,,,,,,1
9313,13302,,,,,,,,,,,,,,,,,,,,,
9314,13303,,,,,,,,,,,,,,,,,,,,,
9315,13304,,,,,,,,,,,,,,,,,,,,,
9316,13305,,,,1,,1,,,,,,,,,,,,,,,
9317,13306,,,,,,,,,,,,,,1,,,,,,,
9318,13307,,,,,,,,,,,,,,,,,,,,,
9319,13308,,,,,,,,,,,,,,,,,,,,,
9320,13310,,,,1,,,,,1,,,,,1,,1,,,,,
9321,13311,,,,,,1,,,1,,,,,1,1,,,,,,
9322,13312,,,,,,,,,,,,,,,,,,,,,
9323,13313,1,,1,1,,,,,,,,,,,,,,,,,
9324,13316,,,,,,,,,1,,,,,1,,,,,,,
9325,13319,,,,,,,,,1,,,1,,,,,,1,,,
9326,13320,,,,,,,,,,,,,,,,,,,,,
9327,13321,,,,,,1,,,,,,,,1,,,,,1,,
9328,13322,,,,,,,,,1,,,,,,,,,,,,
9329,13323,,,,,,,,,,,,,,1,,,,,,,
9330,13325,1,,,1,,1,,,,,,,,1,,,,,,,1
9331,13328,,,,,,,,,,,,,,1,,1,,,,1,1
9332,13329,,,,1,1,1,,,1,,,,,1,,,,,,,
9333,13330,1,,1,,,,,,1,,,,,1,,1,,,,,
9334,13331,,,,,,,,,,,,,,,,,,,,,
9335,13332,1,,1,,1,1,,,,,,,,,,,,,,,
9336,13333,,1,,,,,,,,,,,,,,,,,,,
9337,13334,,,,1,,,,,1,,,,,,,,,,,,
9338,13335,1,,1,,,,,,,,,,,1,,,,,,,
9339,13336,,,,1,,1,,,,,,,,,,,,,,,
9340,13337,,,,,,,,,,,,,,,,,,,,,
9341,13338,,,,1,1,1,,,,,,,1,,,,,,,,
9342,13339,,,,1,,,,,,1,,,,,,,,,,,
9343,13340,,,,1,,1,,,,,,,,,,,,,,,1
9344,13341,,,,,,,,,1,,,,,,,,,,,,
9345,13342,,,,1,,1,,,,,,,,,,,,,,1,
9346,13343,,,,,,,,,,,,,,,,,,,,,
9347,13344,,,,,1,1,,,1,,,,,,,,,,,,
9348,13346,,,,,,,,,,,,,,,,,,,,,
9349,13349,,,,1,,,,,,,,,,1,,,,,,,1
9350,13350,,,1,,,,,,,,,,,1,,,,,,,
9351,13351,,,,,,1,,,1,,,,,,,,,,,,1
9352,13352,,1,,,,1,,,,,,,,1,,,,,,,
9353,13353,,,,,,,,,,,,,,1,,,,,,,
9354,13354,,,,,,,,,,,,,,,,,,,,,
9355,13356,1,1,1,,,1,,,1,,,,,1,,1,1,,,,
9356,13357,,,,,,,,,,,,,,,,,,,,,
9357,13358,,,,1,,1,,,,,,,,1,,,,,,,
9358,13359,1,,,1,1,,,,,,,,1,1,,,,,,,
9359,13360,,,,,,,,,,,,,,,,,,,,,
9360,13361,,,,1,1,1,,,,,,,1,1,,1,,,,,1
9361,13362,,,,1,,,,,1,,,,,,,,,,,1,
9362,13363,,,,,,1,,,1,,,,,,,,,,,,
9363,13366,,,,,,,,,,,,,,,,,,,,,
9364,13368,,,,,,,,,,,,,,,,,,,,,
9365,13369,,,,,,,,,,,,,,,,,,,,,
9366,13370,,,,,,,,,,,,,,,,,,,,,
9367,13374,,,,,,,,,,,,,,,,,,,,,
9368,13375,,,,,,,,,,,,,,,,,,,,,
9369,13376,,,,,,,,,,,,,,,,,,,,,
9370,13377,,,,1,,,,,1,,,,,,,,,,,,
9371,13379,,,,,,,,,,,,,,,,,,,,,
9372,13380,1,1,1,,,1,,,,,1,1,,1,,,,,,,
9373,13381,,,,1,,1,,,,,,,,,,1,,,,1,1
9374,13382,,,,,,,,,,,,,,,,,,,,,
9375,13383,,,,,,,,,,,,,,,,,,,,,
9376,13384,,,,1,,,,,1,,,,,,,,,,,1,
9377,13385,,,,,,,,,,,,,1,,,,,,,,
9378,13388,,,,,,,,,,,,,,,,,,,,,
9379,13389,,,,1,,,,,,,,,,1,,,,,,,
9380,13392,1,,,1,,1,,,,,,,,,,,,,,1,
9381,13393,,,,,,,,,,,,,,1,,,,,,,
9382,13394,,,,,,,,,,,,,,,,,,,,,
9383,13395,,,1,1,,,,1,1,,,,,,,,,,,1,
9384,13397,,,,1,,,,,,,,,,,,,,,,,
9385,13398,1,1,1,1,,1,,,1,1,,,,1,1,1,1,,,,1
9386,13400,,,,1,,,,,,,1,,,,,,,,,,1
9387,13401,,,,,,,,,,,,,,,,,,,,,
9388,13402,1,1,1,,,,,,,,1,,,1,,,,,,,
9389,13403,1,,,1,,,,,1,,,,,,,,,,,,
9390,13404,,,,,,1,,,1,,,,,1,,,,,,,
9391,13405,,,,,,,,,,,,,,,,,,,,,
9392,13406,,,,,,,,,,,,,,,,,,,,,
9393,13407,,,,,,,,,,,,,,,,,,,,,
9394,13408,,,,,,,,,1,,,,,,,,,,,,
9395,13409,,,,,,,,,,,,,,,,,,,,,
9396,13410,,,,,,,,,,,,,,,,,,,,,
9397,13411,,,,1,,,,,,,,,,,,,,,,,
9398,13414,,,1,1,,1,,,,,,,,,,,,,,1,
9399,13416,,,,1,,,,,,,,,,,,,,,,,
9400,13417,,,,1,,,,,,1,,,,1,,,,,,,
9401,13419,,,,,,,,,,,,,,,,,,,,,
9402,13420,,,,,,,,,,,,,,,,1,,,,,
9403,13423,,,,1,,,,,,,,,,,,,,,,,
9404,13424,,,,,,,,,1,,,,,1,,,,,,,
9405,13425,,,,1,,,,,,,,,,1,,,,,,,
9406,13427,,,,,,1,,,,,,,,,,,,,,,
9407,13428,,,1,,,,,,,,,,,1,,,,,,,
9408,13429,,,,,,,,,,,,,,,,,,,,,
9409,13430,,,,1,,,,,,,,,,1,,,,,,,
9410,13431,1,,,1,,,,,,,,,,1,,,,,,1,1
9411,13432,,,1,,1,,,,,,,,,,,,,,,,
9412,13433,,1,,1,,,,,,,,,,1,,,,,,1,
9413,13434,,,1,1,,,,,,,,,,,,,,,,,
9414,13436,,,,1,,,,,,,,,,,,,,,,,
9415,13438,,,,,,1,,,,,,,,,,,,,,,
9416,13439,,,,,,,,,,,,,,,,,,,,,
9417,13440,1,1,,,,1,,,,,,,,1,,,,,,,
9418,13444,,,,,,,,,,,,,,,,,,,,,
9419,13445,,,,,,,,,,,,,,,,,,,,,
9420,13446,,,,,,,,,,,,,,,,,,,,,
9421,13447,,,,,,,,,1,,,,,1,,,,,,,
9422,13449,,,,,,,,,,,,,,,,,,,,,1
9423,13450,,,,,,,,,,,,,,,,,,,,,
9424,13451,,1,,1,,1,,,,,,,,1,,,,,,,1
9425,13452,,,,,,,,,,,,,,,,,,,,,
9426,13453,,,,,,,,,,,,,,,,,,,,,
9427,13456,,,,1,,,,,,,,,,,,,,,,1,
9428,13457,,,,1,,,,,,,,,,,,,,,,,
9429,13459,,,,1,,,,,,,,,,,,,,,,,
9430,13460,1,,,,,,,,1,,,,,,,,,,,,
9431,13461,,,,,,,,,,,,,,,,,,,,,1
9432,13463,1,,1,,,1,,,,,,,,1,,,,,,,
9433,13464,,,,,,,,,,,,,,1,,1,,,,,
9434,13466,,,,1,,,,,1,,,,,1,,,,,,,
9435,13469,,,,1,,,,,,1,,,,1,,,,,,,
9436,13470,,,,,,,,,,,,,,,,,,,,,1
9437,13471,,,,,,,,,,,,,,,,,,,,,
9438,13473,,,,1,,,,,,,,,,1,,,,,,,
9439,13474,,,,,,1,,,,,,,,,,,,,,,
9440,13476,,,,,,,,,,,,,,,,,,,,,
9441,13477,,,,,,,,,,,,,,,,,,,,,
9442,13478,,,,1,,1,,,,,,,,1,,,1,,,1,
9443,13481,,,,,,,,,,,,,,,,,,,,,
9444,13482,,,,,,,,,,,,,,,,,,,,,
9445,13485,1,,,,,,,,1,,,,,,,,,,,,1
9446,13486,,,,,,1,,,,,,,,1,,,,,,,
9447,13487,,,,,,,,,,,,,,,,,,,,,1
9448,13488,,,,,,,,,1,,,,,1,,,,,,,
9449,13489,,,1,,,1,,,,,,1,,1,,,,,,,
9450,13490,,,,,,,,,,,,,,,,,,,,,
9451,13492,,,,,,,,,,,,,,,,,,,,,
9452,13493,,1,,1,,,,,,,,,,1,,,,,,,
9453,13494,,,,1,,,,,1,,,,,,,1,,,,,
9454,13495,1,,,,,,,,,,1,,,1,1,,1,,,,
9455,13496,,,,,,,,,,,,,,,,,,,,1,
9456,13497,,,,1,,1,,,,,,,,1,,,,,,,
9457,13499,1,,1,,,1,,,,,1,1,,1,,,,1,,,
9458,13500,1,,1,,,1,,,,,,,1,,,,1,,,,
9459,13501,,,,1,,,,,,,,,,,,,,,,,
9460,13502,1,,,,,,,,1,,,,,1,,,,,,,
9461,13503,,,,,,,,,1,,1,,,,,,,,,,
9462,13504,,,,1,,,,,,,,,,1,,,,,,,
9463,13505,,,,,,,,,,,,,,,,,,,,,
9464,13506,,,,1,,,,,,,,,,,1,,,,,1,
9465,13507,,,,,,,,,,,,,,,,,,,,,
9466,13508,1,1,,,,1,,,,,,,,1,,,,,,,
