,Respondent,Engineering manager,QA or test developer,Designer,Mobile developer,System administrator,Game or graphics developer,Product manager,Data or business analyst,Educator or academic researcher,Marketing or sales professional,Back-end developer,Student,"C-suite executive (CEO, CTO, etc.)",DevOps specialist,Front-end developer,Database administrator,Data scientist or machine learning specialist,Embedded applications or devices developer,Desktop or enterprise applications developer,Full-stack developer
10070,14369,,,,,,,,,,,2,2,,,2,,,,,2
10071,14370,,,,,,,,,,,,,,,2,,,,,
10072,14371,,,2,2,,,,,,,2,,,2,,,,,,2
10073,14372,,,,2,2,2,,,,,,2,,,,2,,,,
10074,14373,,2,,,2,,2,,,,2,,,2,2,2,,,,2
10075,14374,,,,,,,,,,,,,,,,,,,,2
10076,14375,,,,,,,,,,,2,,,,,,,,,2
10077,14376,,,2,,2,,,,,,2,,,2,2,2,,,,2
10078,14377,,,,,,,,,,,,,,,,,,,,2
10079,14378,,,,2,,,,,,,,,,,,,,,,
10080,14379,,,,2,,,,,,,,,,,,,,,2,
10081,14380,,,,,,,,,,,2,,,,,,,,,2
10082,14383,,,,,,2,,,,,2,,,,,,,,,2
10083,14384,,,2,,2,,,,,,2,,,,2,2,,,,2
10084,14385,,,,,,,,,,,2,,,2,,,,,,
10085,14387,,,,,,,,,,,,2,,,,,,,,
10086,14388,,,,,,,,,,,,,,,2,,,,,2
10087,14389,2,,,,,,,,,,,,,,,,,,,
10088,14390,,,,,,,,,,,2,,,,,,,,,2
10089,14391,,,,,,,,,,,2,,,,,,,,,
10090,14392,,,,,,,,,,,2,2,,,2,2,,,,2
10091,14393,2,,,,,,,,,,2,,2,,,,,,,
10092,14394,,,,,,,,,,,,,,,2,,,,,
10093,14396,,,,,,,,,,,,,,,,,,,,2
10094,14397,,,,,,,,,,,2,,,,,,,,,
10095,14398,,,2,2,,,,,,,2,,,,2,,,,2,2
10096,14399,,,,2,,,,,,,,,,,,,,,,2
10097,14403,,,,2,,,,,,,2,,,,2,,,,2,
10098,14404,,,,,2,,,,,,,,,,,2,,,,2
10099,14405,,,,,,,,,,,2,,,,,,,,2,2
10100,14407,,,,,,,,,,,,,,,,,,,,2
10101,14408,2,,,,,,,,,,2,,2,2,,2,,,2,
10102,14410,,,,,,,,,,,,,,,2,,,,,
10103,14411,,,,,,,,,,,,,,,,,,,,2
10104,14412,,,2,,,,,2,,,2,,,,2,2,,,,
10105,14413,,,,,,,,,,,,,,,2,,,,,
10106,14414,,,,,,,,,,,,2,,,,,,,,
10107,14418,,,,,,,,,,,,,,,,,,,,2
10108,14419,,,,2,,,,,,,2,,,2,,2,,,,2
10109,14420,,,2,,2,,,,,,2,,,,2,,,,,2
10110,14421,,,2,2,,,,,,,2,2,,2,,2,,,,2
10111,14422,,,,,2,,,,,,2,,,2,,,,,,2
10112,14423,,,,,,,,,,,2,,,,2,,,,2,
10113,14424,,,2,,2,,,,,,2,,,,2,2,,,,2
10114,14426,,,2,,,,,,,,2,,,,2,2,,,,2
10115,14428,,,,2,,,,,,,,,,,,,,,,
10116,14431,,,,,,,,,,,2,,,,,,,,,
10117,14432,,,,,,,,,,,2,,,,2,,,,,2
10118,14436,,,2,2,,,,,,,2,,,2,2,,,,,2
10119,14437,,,,,2,,,,,,2,,,,,2,,,,
10120,14438,,,,,,,,,,,2,,,,,,,,,
10121,14441,,,,,,,,,,,2,,,,,,,,,2
10122,14442,,,,,2,,,,,,,,,2,,,,,,
10123,14443,,,,,,,,,,,,,,,,,,,2,
10124,14445,,,,,,,,,,,2,,,,,,,,,
10125,14446,,,2,2,2,,,,,,2,,,2,,2,,,,2
10126,14447,,,2,,2,,,2,,,2,2,,,2,2,2,2,,
10127,14448,,,,,2,,,,,,,,,,,,,,,2
10128,14449,2,,,,2,,,,,,2,,,2,2,2,,,,2
10129,14451,,,,,,,,,,,2,,,,2,2,,,2,
10130,14452,,,,,,,,,,,2,,,,,,,,,
10131,14454,,,,,,,,,,,,,,,,,,,,2
10132,14456,,,,,,,,,,,2,,,,2,,,,,2
10133,14458,,,2,,,,,,,,2,,,,,,,,,2
10134,14459,,,,,,,,2,,,2,,,,2,2,,,2,2
10135,14460,,,,2,,,,,,,,,,,,,,,,
10136,14461,2,2,2,,2,,,,,,2,,,,2,2,,,,2
10137,14463,,,,,,,,,,,,,,,,,,,,
10138,14464,,2,,,,,,,,,,,,,,,,,,
10139,14466,,,,,,,,,,,2,,,,,,,,,2
10140,14467,,,,,,,,,,,,,,,,,,,,
10141,14468,2,,,,,,,,,,,,,,,,,,,2
10142,14469,,,,,,,2,,,,2,,,,2,2,,,,2
10143,14471,,,,2,,,,,,,,,,,,,,,,
10144,14472,2,2,,,,,,,,,2,,,,,,,,,2
10145,14473,,,,,,,,,,,2,,,,,,,,,
10146,14474,,,,,,,,2,,,2,,,,,,,,2,2
10147,14476,,,2,,2,,,,,,2,,,,,,,,,2
10148,14477,,,2,2,,,,,,,,,,,,,,,,
10149,14480,,,,,,,,,,,,2,,,,,,,,2
10150,14482,,,,,,,,,,,,,,,,,,,2,2
10151,14483,,,,,,,,,,,,,,,,,,2,,
10152,14485,,,,,,,,,,,2,,,,2,,,,,2
10153,14486,,,,2,,,,,,,,,,,,,,,,
10154,14487,,,,,,,,,,,,,,,,,,,,2
10155,14488,,,,,,,,,,,,,,,,,2,,,
10156,14489,,,,,,,,,,,2,,,,,2,,,,
10157,14490,2,2,,,2,,,2,,2,2,,2,2,2,2,2,,,2
10158,14491,,2,,,,,,,,,2,,,,2,,,,,2
10159,14492,,,,,,,,,,,2,,,,,,,,,2
10160,14493,,2,,,,,,,,,2,,,,2,2,,,2,
10161,14494,,,,,,,,,,,,,,,,,,,,
10162,14495,,,2,2,2,2,,2,,,2,,,,2,,2,,2,2
10163,14496,,,,,,,,,,,2,,,,,,,,,
10164,14497,,,,,,,,,,,,,,,2,,,,,
10165,14498,,,,2,,,,,2,,,,,,,,,,2,
10166,14499,,,,,,,,,,,2,,,,,,,,,
10167,14500,,,,2,2,,,,,,,2,,,,,,,,
10168,14502,,2,,2,,,,,,,2,,,,2,,,,2,2
10169,14503,,,,,,,,,,,2,,,,,,,,,
10170,14504,,,,,,,,,,,,,,,,,,,,
10171,14505,,,2,2,,,,2,,,2,,,2,2,2,,,2,2
10172,14506,,,,,,2,,,,,,,,,,,2,,2,
10173,14508,,,,,,,,,,,,2,,,,,,,,
10174,14509,,,,,2,,,2,,,2,,,2,,,,,,2
10175,14510,2,,2,,,,,,2,,2,,,,,,,,2,2
10176,14511,,,,,,,,,,,,,,,,,,2,,
10177,14513,,,,,,,,,,,2,,,2,,2,,,,2
10178,14515,,,,,,,,,,,,,,,,,,,,2
10179,14516,,,,,,,,,,,,,,,2,,,,,
10180,14517,,2,2,,,,,,,,2,,,,2,2,,,,2
10181,14518,,,,2,,,,,,,2,,,,2,,,,2,2
10182,14520,,,,,,,,2,,,2,,,,,,2,,,
10183,14522,,,,,,,,,,,,,,,,,,,,
10184,14524,,,,,,,,,,,2,,,,2,,,,,2
10185,14526,,,,,,,2,,,,2,,,2,,,,,,2
10186,14527,,,,,,,,,,,2,,,,2,,,,,
10187,14530,,,,,,,,,,,2,,,,,,,,,2
10188,14531,,,,2,,,,,,,2,,,,2,,,,,2
10189,14532,,,,,2,,,,,,2,,,2,2,,,,2,2
10190,14534,,,,2,,,,,,,,2,,,,,,,,2
10191,14535,,2,,,2,,,,,,2,,,2,,,,2,,2
10192,14539,2,2,,2,,,,2,,,2,,,,,2,2,,,2
10193,14540,,,,,,,,,,,,,,,,,,,,2
10194,14542,,,,,,,,,,,2,,,,,,,,,2
10195,14544,,,,,,,,,,,2,2,,,2,,,,,2
10196,14547,,,,,,,,,,,2,,,,,,,,,
10197,14549,,,2,,,,,2,,,,,,,2,,,,2,
10198,14551,,,2,2,,,,,,,2,2,,,2,,,,2,2
10199,14552,,,,,,,,,,,,,,,,,,,,2
10200,14554,,,,,,,,,2,,2,,,,,,2,,,2
10201,14555,,,,2,,,,,,,,,,,,,,,,
10202,14556,,,2,2,,,,,,,2,,,,,,,,,
10203,14557,,,,,,,,2,2,,,,,,,,,,,
10204,14558,,,,2,,,,,,,,,,,,,,,,
10205,14559,2,,,,,,2,,,,,,,,,,,,,2
10206,14560,,,2,,,2,,,,,,,,,,2,,,,
10207,14561,,,,,,,,,,,2,,,,,,,,,2
10208,14562,,,,,,,,,,,2,,,,,,,,,
10209,14563,,,,,,,,,,,,,,,,,,,,2
10210,14564,,,,,,,,,,,,,,,2,,,,,2
10211,14567,,,,,,,,2,,,,,,,,,2,,,
10212,14568,,,,,,,,,,,,,,,,,2,,,
10213,14569,,,,,,,,2,,,2,,,,2,,2,,2,
10214,14570,,2,,,,,,,,,2,,,2,2,,,,,2
10215,14571,,,,,,,,,,,2,,,,,,,,,
10216,14572,,,,2,,,,,,,2,,,,2,2,,,,2
10217,14573,,,,,,,,,,,2,,,,2,,,,,2
10218,14574,,,,,,,,,,,2,,,,,,,,2,
10219,14575,,,,,2,,,,,,2,,,,,,,,,
10220,14576,,,,,2,,,,,,2,,,,2,,,,,
10221,14577,,,,,,,,,,,2,,,,,,,,,
10222,14578,,,,,,,,,,,,,,,,,,,,2
10223,14583,,,,,,,,,,,2,,,2,,,,,,
10224,14584,,,,,,,,,,,2,,,,,,,2,2,
10225,14587,2,,,2,,,,,,,2,,,,,,,,,2
10226,14590,,,,,,,,,,,2,2,,,,,,,,
10227,14591,2,2,2,,2,,2,,,,2,,2,,2,2,,,,2
10228,14592,,,,2,,,,,,,2,,,,2,,,,2,2
10229,14593,,,,,,,,,,,2,,,,,,,,,
10230,14594,,,,,,,,,,,,,,,,,,,,2
10231,14595,,,,,,,,,,,,,,,,,,,,
10232,14597,,,,,,,,,,,2,,,,2,,,,,2
10233,14598,,,2,,,,,,,,2,2,,,2,2,,,,
10234,14599,,,,,2,,,,,,,,,,,,,,,
10235,14601,,,,,,,,,,,,,,,,,2,,,
10236,14602,,,,,,,2,,,,,,,2,,,,,2,2
10237,14603,,,,,,,,,,,2,,,,,,,,,
10238,14604,,,,,,,,,,,2,,,,,,,,2,2
10239,14605,,,,,,,,,,,2,,,,,2,,,,2
10240,14606,,,,,,,,,,,2,,,,,,,,,2
10241,14609,,,,,,,,,,,2,,,2,,2,,,,2
10242,14610,,2,,,,,,,,,,,,,,,,,2,
10243,14611,,,,2,,,,,,,2,2,,,,,,,,2
10244,14612,,,,,,,,,,,2,,,,,,,,,
10245,14613,,,,2,,,,,,,2,,,,2,,,,,
10246,14614,,,,,,,,,,,2,2,,,2,,,,2,2
10247,14616,,,,,,,,,,,,2,,,,,2,,,
10248,14617,,,,,,,,,,,,,,,2,,,,,
10249,14618,,,,,,,,,,,2,,,,,,,,,
10250,14620,,,,,,,,,,,2,2,,2,,2,,,,2
10251,14621,,2,,,,,,,,,,,,,,,,,,
10252,14622,,,,,,,,,,,,,,,,,,,,2
10253,14627,,2,,,,,,,,,,2,,,,,,,,
10254,14628,,,,,,,,,,,2,,,,,,,,,
10255,14629,,,,,2,,,,,,,,,2,,,,,,
10256,14630,,,,,,,2,,,,,,,,,,,,,
10257,14631,,,2,,2,,,,,2,2,,,,2,2,,,,2
10258,14634,,,,,,,,,,,,,,,2,,,,,
10259,14635,,,,,2,,,,,,2,,,2,,2,,,2,
10260,14636,2,,,,2,,2,,,2,2,,2,2,2,2,,,2,
10261,14638,,,,2,,,,,,,2,,,,,,,,,2
10262,14640,,,,,,,,,,,,,,,,,,,,2
10263,14641,,,,2,,,,,,,,,,,,,,,,
10264,14642,,,,,,,,,,,2,,,2,,,,,,
10265,14643,,,,,,,,,,,2,,,,2,,,,,2
10266,14644,,,,,,,,,,,,,,,,,,,,
10267,14645,,,,,,,,,,,,,,,,,,,,2
10268,14647,,,,,,,,,,,,2,,,,,,,2,
10269,14648,,,,,,,,,,,2,2,,,2,,,,,
10270,14650,,,,,,,,,,,,,,,,,2,,,
10271,14652,,,,2,,,,,,,,,,,,,,,,
10272,14653,,,,,,,,,,,,,,,,,,,,
10273,14654,,2,,,,,,,,,,,,2,,,,,,
10274,14656,,,,,,,2,,,,2,,,,2,2,,,,2
10275,14657,2,,,,2,,,,,,2,,,,2,,,,,2
10276,14660,,,,,,,,,,,2,,,,,,,,,
10277,14665,,,,,,,,,,,,,,,,,,,,2
10278,14667,,,,2,,,,,,,,,,,,,,,,
10279,14668,,,,,,,,,,,,,,,,,,2,,
10280,14669,2,2,,,,,,2,,,2,,,2,2,,,,,2
10281,14670,,,,,,2,,,,,2,,,,2,,,,,2
10282,14672,,,,,,,,,,,,,,,,,,2,,
10283,14673,,,,,,,,,,,2,,,2,,2,,,,
10284,14674,,,,,,,,,,,,,,,,,,,,2
10285,14675,,,2,2,,,2,,,,2,,,,2,,,,,2
10286,14679,,,,,,,,,,,,,,,2,,,,,
10287,14680,,,2,,,,,,,,2,,,,,,,,,
10288,14681,,,,,,,,,,,,2,,,,,,,,
10289,14682,,2,,,,,,,,,,,,,2,,,,,2
10290,14684,,,,,,,,,,,2,,,,,,,,,
10291,14685,,,,,,,,,2,,,2,,,,,,,,
10292,14686,,,,,,,,,,,,,,,,,2,,,
10293,14687,,,,2,,,,,,,,,,,2,,,,,2
10294,14688,,,,,,,,2,,2,2,,,,2,2,,,,2
10295,14689,,,,2,,,,,,,,,,,,,,,,
10296,14690,,,,,,,,2,,,,,,,,,,,,
10297,14691,,,,2,,,,,,,,,,,,,,,,
10298,14693,,2,,,2,,,2,,,,,,,,2,,,,
10299,14694,,,,2,,,,,,,,,,,,,,,,
10300,14695,,,2,,,,2,2,,,2,,,,2,,,,2,2
10301,14696,,2,,,,,,,,,,,,,,2,,2,,2
10302,14697,,,,,,,,,,,2,,,,2,,,,,
10303,14698,,,,,,,,,,,2,,,,,,,,,
10304,14699,,,,,,,,,,,,,,,,,2,,,
10305,14700,2,2,2,,2,,2,2,2,,2,,,2,2,2,,,2,2
10306,14703,,,,,,,,,,,,,,,,,,,2,
10307,14705,,2,,,2,2,,2,,,,,,,,2,,,2,
10308,14706,,,,,2,,,,,,2,,,,,,,,,
10309,14707,,,,,,,,,,,,,,,,,,,,2
10310,14710,,,,,,,,,,,2,,,,2,,,,,2
10311,14711,,,,,,2,,,,,,,,,,,,,,
10312,14712,,2,,,,,,,,,,,,,,,,,,
10313,14713,,,,,,,,,,,,,,,,,,,2,
10314,14717,,,,,,,,,,,,,,,,,2,,,
10315,14718,,,2,,,,,,,,2,,,,,,,,,2
10316,14719,,,,,2,,,,,,2,,,2,,,,,,2
10317,14720,,,,,,,,,,,,,,,,,,,,
10318,14721,,,,,,,,,,,,,,,2,,,,,
10319,14722,,,,,,,,2,,,,,,,,,,,,
10320,14724,,,,2,,,,,,,,,,,,,,,,
10321,14729,,,,,,,,,,,2,,,,,,,,,2
10322,14730,,,,,,,,,,,2,,,,,,,,,
10323,14732,,,2,,,,,,,,2,,,,2,,,,2,2
10324,14733,,,,,,,,,,,2,,,,,,,,,
10325,14734,,,,,,,,,,,2,,,,2,,,,2,2
10326,14735,2,,,,,,,,,,2,,,2,,,,,,2
10327,14736,,,,2,,,,,,,,,,,2,,,,,
10328,14737,,,2,,,,,,,,,,,,2,,,,,
10329,14738,,,,,,,,,,,2,,,,2,2,,,,2
10330,14739,,,,,,,,2,,,,,,,,2,,,,2
10331,14740,,,,2,,,,,,,,,,,,,,,,2
10332,14741,2,,,,,,,,,,,,,,,,,,,2
10333,14742,,,,2,,,,,,,,,,,2,,,,,
10334,14747,,,,,,,,,,,,,2,2,,2,,,,2
10335,14748,,,2,,,,,,,,2,,,,2,2,,,,2
10336,14750,2,,2,2,,,2,,,,2,,2,2,2,2,,,,2
10337,14751,,,2,,,,,,,,,,,,2,,,,,
10338,14752,2,,,,2,,2,2,,,2,,,,2,2,,,,2
10339,14753,,,2,,,,,,,,,,,,2,,,,,
10340,14754,,,,,,,,,,,,,,,2,,,,,
10341,14755,,,,2,,,,,,,,,,,,,,,,
10342,14757,,,,2,,,,,,,2,,,,2,,,,2,2
10343,14759,,,2,2,2,,,2,,,2,,,,2,2,,,2,2
10344,14760,,,,,,,,,,,2,,,,2,,,2,,
10345,14761,,,,,,,,,,,2,,,,,,,,,
10346,14767,,,,2,,,,,,,2,,,,2,,,,2,2
10347,14769,,,,,,,,,,,2,,,,,,,,,2
10348,14770,,,,,,,,,,,2,,,,2,,,,,2
10349,14772,,,,,,,,,,,2,,,2,2,2,,,,2
10350,14776,,,,,,,,,,,2,,,,2,,,,2,
10351,14778,,,,,,,,,,,2,,,2,2,,,,,2
10352,14780,,,,,,,,,,,2,,,,2,,,,2,2
10353,14781,,,,,,,,,,,2,,,,2,,,,2,2
10354,14782,,,,,,,,,,,,2,,,,,,,,2
10355,14785,,,,,2,,,,,,2,,,,,,,,,2
10356,14786,,,,2,,,,,,,,,,,,,,,,
10357,14787,,,,2,,,,,,,2,,,,2,,,,,2
10358,14788,,,,,,,,,2,,,,,,,,,,2,2
10359,14790,,,,,,,,,,,,,,,,,2,,,2
10360,14792,,,,2,,2,,,,,,,,,,,,,,
10361,14793,,,,,,,,,,,2,,,,2,,,,,2
10362,14796,,,,,,,,,,,2,,,,2,2,,,,2
10363,14800,,,,,,,,2,,,2,2,,,2,2,2,,,2
10364,14802,,,,,,,,,,,,,,,,,,,,2
10365,14803,,,,,,,,,,,2,,,,,,,,,2
10366,14804,,,,,,,,,,,,,,,,,,,,2
10367,14806,,,2,,2,,,,,,,,,,,2,,,,2
10368,14807,,,2,,,,,2,,,2,,,,,,,,2,
10369,14808,,,,2,,,,,,,2,,,,,,,,,
10370,14809,,,,,,,2,,,,2,,2,2,,,,,,2
10371,14810,,,,2,,,,,,,,,,,,,,,,
10372,14811,,,,,,,,,,,2,,,,,,,,,2
10373,14812,,,2,,,,2,,,,2,,,,2,,,,2,2
10374,14814,2,,,,,,2,,,,2,,2,2,2,,,,,2
10375,14815,,,,,,,,,,,,,,,,,,,,2
10376,14816,,,,2,,,,,,,,,,,,,,,,
10377,14817,,,,,,,,2,,,2,,,2,2,2,,,,2
10378,14821,,,,,,,,,,,2,,,,,,2,,,
10379,14822,,,2,,,,,,,,2,,,,2,2,,,2,2
10380,14823,,,,,,,2,,2,,2,,,,,,2,,,2
10381,14825,,2,,,2,,2,2,2,,2,2,,,2,2,,,,2
10382,14828,,,,,,,,,,2,,,,,,,,,,
10383,14829,,,2,,,,,,,,2,,,,2,,,,,2
10384,14830,,,,,,,,,,,2,,,,,2,,,,2
10385,14831,2,,,,,,2,,,,2,,,,2,,,,2,2
10386,14832,,,,,,,,,,,2,,,,,,,,,
10387,14834,,,,,,,,,,,2,,,,2,,,,,
10388,14835,,,,,,,,2,,,,,,,,,,,,
10389,14836,,2,2,,,,,,,,2,,,,2,,,,,2
10390,14837,,,,,,,,,,,2,,,,,,,,2,2
10391,14838,,2,,2,,2,2,,,,,,,,2,,,2,,2
10392,14839,,,,,,,,,,,,,,,,,,,2,
10393,14840,2,2,,,,,,,,,,,,,,,,,,2
10394,14841,,,2,,2,,2,2,,,2,,,,2,2,,,2,
10395,14842,,,,,,,,,,,2,,,2,,,,,,2
10396,14844,2,,,,,,,,,,2,,2,,,,,,,
10397,14845,,,,,,,,,,,2,,,,,,,,,
10398,14846,,,,,,,,,,,2,,,,,,2,,,2
10399,14847,,,2,,2,,,,,,2,,,,2,2,,,,2
10400,14848,,,2,,,,,,,,2,2,,,2,,,,,
10401,14851,,,,,,,,,,,2,2,,,2,,,,,2
10402,14852,,,,,,,,,,,,,,,2,,,,,
10403,14853,,,,,,,,,,,,2,,,,,,,,
10404,14854,,,2,,,2,,,,,2,,,2,2,,,,2,2
10405,14857,,,,,,,,,,,2,,,,2,,,,,2
10406,14858,,,,,,,,2,,,2,,,2,,,,,,
10407,14860,,,,,,,,,,,,,,,,,,,,2
10408,14861,,,,,,,,,,,2,2,,,2,,,,,2
10409,14862,,,,,,,,,,,,,,,,,2,,,
10410,14864,,,,,2,,,,,,2,,,,2,,,,2,
10411,14865,,,,2,,,,,,,,,,,2,,,,,
10412,14866,,,,,,,,,,,2,,,,2,,,,,2
10413,14867,,,2,,2,,,,,,2,,,,2,2,,,,
10414,14869,,,,,,,,,,,2,,,,2,,,,,2
10415,14870,,2,,,,,,,,,2,,,2,,,,,,
10416,14871,2,2,2,,,,,,2,,2,,,,,,,,,
10417,14873,,,,,,,,,,,,,,,,,,,,2
10418,14874,,,,,,,,,,,,,,,,,,,,2
10419,14875,,,,,,,,,,,2,,,,2,,,,,2
10420,14876,,,,,,,,,,,2,,,,,,,,,
10421,14877,,,,,,,,,,,2,,,2,,,,,,2
10422,14879,,,,,2,,,,,,2,,,,2,2,,,,2
10423,14880,,,,,,,,,,,2,,,,2,,,,,
10424,14881,,,,,,,,,,,,,,,,,,,2,
10425,14883,,2,,,,,,,,,,,,,,,,2,,
10426,14884,,,,,,,,,,,,,,,,,,,,2
10427,14885,,,2,2,2,,,,,,2,,,2,2,2,,,,2
10428,14887,,,,,2,,,,,,2,,,,2,,,,2,2
10429,14888,,,,2,,,,,,,2,,,,2,,,,,
10430,14891,,,,,,,,,,,,2,,,,,,,,
10431,14892,,,,,,,,,,,,,,,2,,,,,
10432,14893,,,,,,,,,,,2,,,,2,2,,,,
10433,14894,,,,,,,,,,,,,,,,,2,,,2
10434,14896,,,,,,,,,,,2,,,,,,,,2,2
10435,14899,,2,,2,,,,2,,,,,,,,,,,,
10436,14900,,2,,,,,,,,,,,,2,,,,,,
10437,14901,,,2,,,,,,,,2,,,,,,,2,2,
10438,14902,,,,,,,,2,,,,,,,,2,,,,2
10439,14903,,,2,2,,,,,,,2,,,,2,2,,,2,2
10440,14904,,,,,,,,,,,2,,,2,2,,,,,2
10441,14905,,2,2,,2,,,2,,,2,,,,2,2,,,2,2
10442,14906,2,,,,,,,,,,2,,,,2,,,,,2
10443,14907,,,,,,,,,,,,,,,2,,,,,
10444,14909,,,,,,,,,,,,2,,,,,,,,
10445,14912,,,,,,,,2,,,2,,,,,2,,,2,2
10446,14913,,,,2,,,,,,,2,,,,,,,,2,
10447,14914,,,,,,,,,,,2,,,,2,,2,,,2
10448,14915,,,,,,,,,,,2,,,,,,2,,,
10449,14916,,,,,,,,,,,2,,,,2,,,,,2
10450,14919,,,,2,,,,,,,,,,,,,,,2,2
10451,14921,,,,,,,,,,,2,,,,,2,,,,
10452,14922,,,,,,,,,,,2,,,2,2,,,,,2
10453,14923,,,,,,,,,,,,,,2,,,,,,2
10454,14924,,,2,,,,,,,,,,,,2,,,,,2
10455,14927,,2,,,,,,,,,2,2,,,2,,,,2,2
10456,14930,,,,,,,,2,,,2,2,,,,,,,,
10457,14931,,,,,,,,,,,2,,,,2,,,,,2
10458,14934,,,,,,,,,,,2,,,,,,,,,
10459,14937,,,,,,,,2,,,,,,,,,,,,
10460,14939,,,,,,,,,,,2,,,,,,,,2,
10461,14940,,,,,,,,,,,,,,,,,,,,2
10462,14942,,,,,,,,,,,,,,,2,,,,,
10463,14943,,,,,,,,,2,,2,2,,,,,2,2,,
10464,14944,,,,2,,,,,,,,,,,,,,,,
10465,14946,,,2,,,,,,,,,,,,2,,,,,
10466,14947,,,,2,,,,,,,2,,,,2,,,,,2
10467,14948,,,,,,,,,,,2,,,,2,,,,,2
10468,14950,,,,,,,,,,,,,,,,,,,,2
10469,14953,,,,,,,,2,,,,,2,,,,2,,,
10470,14954,,,,,2,,,,,,2,,2,2,,,2,,,2
10471,14955,,,,,,,,,,,2,,,,,,,,2,2
10472,14957,,,,,,,,,,,2,,,2,,,,,,2
10473,14958,,,,,,,,,,,2,,,,,,,,,
10474,14959,,,,,,,,,,,,,,,,,,,,
10475,14960,,2,,,,,,,,,2,,,,2,,,,,2
10476,14961,,,,,,,,,,,,,,,,,,,,2
10477,14962,,,,,2,,,,,,2,,,,2,2,,,,2
10478,14963,,,,,,,,,,,,,,,,,,,,2
10479,14966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10480,14967,,,,,,,,,,,2,,,,,,,,2,2
10481,14968,,,,,,,,,,,2,,,2,,,,,2,2
10482,14969,,,,,,,,,,,,2,,,,,,,,
10483,14970,,,,,,,,2,,,2,,,,,,,,,
10484,14972,,,,,,,,,,,2,,,2,,,,,,2
10485,14975,2,,,,,,,,,,2,,,,,,,,,
10486,14977,,,,2,,2,,,,,,,,,,,,,,2
10487,14978,,,,2,,,,,,,,,,,,,,,,
10488,14979,,,,,,,,,,,2,2,,,,2,,,,
10489,14980,,,2,,,,,,,,2,,,,,,,,,
10490,14981,,,,2,,,,,,,2,,,2,2,,,,,2
10491,14982,,,,,,,,,,,,,,2,,,,,,
10492,14983,,,,,,,,,,,,,,,,,,,2,2
10493,14984,,,,,,,,,,,,,,,2,,,,,2
10494,14985,,,,,,,,,,,2,,,,,,,,,2
10495,14987,,,,,,,,2,,,2,,,2,,2,2,,,
10496,14988,2,,,,,,,2,,,2,,,,2,,,,2,
10497,14990,,,,,,,,,,,,,,,,,,,,2
10498,14991,,,,,,,,,,,2,,,,2,,,,,2
10499,14992,,,,,,,,,,,2,,,,,,,,,
10500,14994,,,,2,,,,,,,2,,,,,,,,,
10501,14995,,2,,,,,,,,,,,,2,2,,,,,2
10502,14996,,,,2,,,,,,,2,,,,2,,,,,2
10503,14997,,,,,2,,2,,,,,,,,,,,,,2
10504,14998,,,,,,,,,,,,,,,,,,,,2
10505,14999,,,,,,,,2,,,2,,,,,2,,,2,2
10506,15000,,,,,,,,,,,,,,,,,,,,2
10507,15002,,,,,,,,,,,2,,,,,,,,,
10508,15005,,,,,,,,,,,,,2,,,,,,,
10509,15006,,,,2,,,,,,,,,,,,,,,,
10510,15008,,,,,,,,,,,2,,,,,,,,,2
10511,15009,,,,,,,,,,,2,,,,2,,,,2,
10512,15011,,,,,2,,,,,,2,,,2,,,,,,
10513,15012,,,,,,,,2,,,2,,,,2,2,2,,2,
10514,15013,,,,,,,,,,,2,,,,2,,,,2,
10515,15015,,,,2,,,,,,,,,,,,,,,,
10516,15016,,,,2,,,,,,,,,,,,,,,,
10517,15018,,,,,,,,,,,,,,,,,,,,2
10518,15019,,,,,,,,,,,2,,,,,,,,,
10519,15020,,,,2,,,,,,,2,,,,,,,2,2,
10520,15021,,,2,2,,,,,,,2,,,,2,2,,2,2,2
10521,15022,,,,,,,,,,,2,,,,,,,,,
10522,15023,,,,,,,,,,,2,,,,,,2,,,
10523,15024,,,,,,,,2,,,,,,,,,,,,
10524,15025,,,,,,,,,,,2,,,,,,,,,
10525,15026,,,2,,,,,,,,2,,,2,2,2,,,,2
10526,15027,,,,2,,,,,,,,,,,,,,2,,
10527,15028,,,,,,,,,,,,,,,,,,,,
10528,15030,,,,,,,,,,,2,,,,,,,,,
10529,15031,2,,,,,,2,2,,,2,,,2,,,,,,2
10530,15033,,,,,,,,2,,,2,,,,,,2,,,
10531,15034,,,,,2,,,,,,,,,2,,,2,,,
10532,15035,,,,,,,,,,,,2,,,,,,,,2
10533,15036,,,,,,,,,,,2,2,,,2,,,,,2
10534,15037,,,,2,,,,,,,,,,,,,,,,
10535,15038,,,,,,,,,,,2,,,,,,,,,2
10536,15039,,,,,,,,,,,2,,,,2,,,,,2
10537,15042,,,,,,,,,,,2,2,,,,2,,,,
10538,15043,,,,,,,,2,,,,,,,,,2,,,
10539,15044,,,,,,,,,,,2,,,,,,,,,2
10540,15045,,,,,,,,,,,2,2,,,,2,,,,2
10541,15047,,,,,,,,,,,2,,,,,,,,,
10542,15048,,2,,,,,,,,,2,,2,,2,,,,,2
10543,15049,,,,,,,,,,,2,,,,2,,,,,2
10544,15051,,,,,,,,2,,,,,,,,,,,,
10545,15052,,,,,2,,,,,,2,,,,2,2,,,,2
10546,15053,,,,,,,,,,,,,,,,,,,,2
