Respondent,amazon echo,android,apple watch or apple tv,arduino,aws,azure,drupal,esp8266,firebase,gaming console,google cloud platform/app engine,google home,heroku,ibm cloud or watson,ios,linux,mac os,mainframe,predix,raspberry pi,salesforce,serverless,sharepoint,windows desktop or server,windows phone,wordpress
16256,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16258,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,1.0,
16259,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,,
16261,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
16262,,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,
16264,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16266,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16267,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,
16269,,,,,,,,,,,,,,,,,,,,,,,,,,
16270,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,
16271,,,,,,,,,,,,,,,,,,,,,,,,,,
16272,,,,,,,,,,,,,,,,,,,,,,,,,,
16273,,,,,,,,,,,,,,,,,,,,,,,,,,
16274,,,,,,,,,,,,,,,,,,,,,,,,,,
16275,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
16276,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
16278,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16279,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,
16280,1.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,
16281,,,,,,,,,,,,,,,,,,,,,,,,,,
16282,,,,,,,,,,,,,,,,,,,,,,,,,,
16283,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
16284,,,,,,,,,,,,,,,,,,,,,,,,,,
16285,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
16286,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,
16287,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16288,,,,,,,,,,,,,,,,,,,,,,,,,,
16289,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
16290,,,,,,,,,,,,,,,,,,,,,,,,,,
16291,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0
16292,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16293,,,,,,,,,,,,,,,,,,,,,,,,,,
16294,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16295,,,,,,,,,,,,,,,,,,,,,,,,,,
16296,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16297,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,,
16298,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
16299,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,
16301,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16304,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
16305,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0
16306,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
16307,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
16308,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16309,,,,,,,,,,,,,,,,,,,,,,,,,,
16310,,,,,,,,,,,,,,,,,,,,,,,,,,
16311,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16312,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
16313,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16314,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16315,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,
16316,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0
16317,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
16318,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,
16320,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,
16321,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,
16323,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16324,,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,
16325,,,,,,,,,,,,,,,,,,,,,,,,,,
16326,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
16327,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16328,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
16329,,,,,,,,,,,,,,,,,,,,,,,,,,
16330,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16331,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,
16332,,,,,,,,,,,,,,,,,,,,,,,,,,
16333,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16334,,,,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,
16336,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16338,,,,,,,,,,,,,,,,,,,,,,,,,,
16339,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,1.0
16342,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16343,,,,,,,,,,,,,,,,,,,,,,,,,,
16344,,,,,,,,,,,,,,,,,,,,,,,,,,
16345,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16346,,,,,,,,,,,,,,,,,,,,,,,,,,
16347,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,
16348,,,,,,,,,,,,,,,,,,,,,,,,,,
16350,,,,,,,,,,,,,,,,,,,,,,,,,,
16351,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,
16353,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
16355,,,,,,,,,,,,,,,,,,,,,,,,,,
16356,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
16358,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
16359,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
16362,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0
16363,,,,,,,,,,,,,,,,,,,,,,,,,,
16365,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16367,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,
16374,,,,,,,,,,,,,,,,,,,,,,,,,,
16375,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0
16376,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,
16377,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,
16378,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,
16379,,,,,,,,,,,,,,,,,,,,,,,,,,
16380,,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,
16382,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
16384,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
16385,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,
16387,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
16388,,,,,,,,,,,,,,,,,,,,,,,,,,
16389,,,,,,,,,,,,,,,,,,,,,,,,,,
16390,,,,,,,,,,,,,,,,,,,,,,,,,,
16391,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,
16397,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
16398,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,
16399,,,,,,,,,,,,,,,,,,,,,,,,,,
16402,,,,,,,,,,,,,,,,,,,,,,,,,,
16404,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,1.0
16405,,,,,,,,,,,,,,,,,,,,,,,,,,
16406,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
16407,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
16408,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
16409,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,
16411,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
16412,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,
16413,,,,,,,,,,,,,,,,,,,,,,,,,,
16415,,,,,,,,,,,,,,,,,,,,,,,,,,
16418,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16419,,1.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,
16420,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0
16421,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
16423,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,
16424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
16425,,,,,,,,,,,,,,,,,,,,,,,,,,
16427,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
16428,,,,,,,,,,,,,,,,,,,,,,,,,,
16429,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
16430,,1.0,,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,1.0,,
16433,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,
16434,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,
16436,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
16437,,,,,,,,,,,,,,,,,,,,,,,,,,
16440,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
16441,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,
16443,1.0,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,1.0
16445,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
16446,,,,,,,,,,,,,,,,,,,,,,,,,,
16447,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
16449,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,
16450,,,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,1.0,1.0,,
16452,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,
16456,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,
16458,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,
16459,,,,,,,,,,,,,,,,,,,,,,,,,,
16460,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16461,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16462,,,,,,,,,,,,,,,,,,,,,,,,,,
16464,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
16465,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16467,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
16468,,,,,,,,,,,,,,,,,,,,,,,,,,
16469,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,
16471,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
16472,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,
16473,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,
16474,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
16475,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,
16478,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
16480,,,,,,,,,,,,,,,,,,,,,,,,,,
16481,,,,,,,,,,,,,,,,,,,,,,,,,,
16482,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16483,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16486,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,
16487,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,
16488,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,
16490,,,,,,,,,,,,,,,,,,,,,,,,,,
16491,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
16492,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
16494,,,,,,,,,,,,,,,,,,,,,,,,,,
16495,,,,,,,,,,,,,,,,,,,,,,,,,,
16496,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,
16497,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16498,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
16499,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16501,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16502,,,,,,,,,,,,,,,,,,,,,,,,,,
16503,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
16504,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,1.0
16506,,,,,,,,,,,,,,,,,,,,,,,,,,
16509,,,,,,,,,,,,,,,,,,,,,,,,,,
16512,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
16513,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,
16518,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
16519,,,,,,,,,,,,,,,,,,,,,,,,,,
16521,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16522,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
16523,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16524,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16525,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16527,,,,,,,,,,,,,,,,,,,,,,,,,,
16528,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16532,,,,,,,,,,,,,,,,,,,,,,,,,,
16533,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16534,1.0,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,1.0
16535,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,1.0
16536,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16537,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16538,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16540,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16542,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
16543,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,
16544,,,,,,,,,,,,,,,,,,,,,,,,,,
16545,,,,,,,,,,,,,,,,,,,,,,,,,,
16546,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,1.0
16547,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,
16548,,,,,,,,,,,,,,,,,,,,,,,,,,
16549,,,,,,,,,,,,,,,,,,,,,,,,,,
16550,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,
16551,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
16552,,,,,,,,,,,,,,,,,,,,,,,,,,
16553,,,,,,,,,,,,,,,,,,,,,,,,,,
16554,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,
16557,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16561,,,,,,,,,,,,,,,,,,,,,,,,,,
16562,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
16564,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16565,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16568,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
16569,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
16571,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16572,,,,,,,,,,,,,,,,,,,,,,,,,,
16574,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,
16576,,,,,,,,,,,,,,,,,,,,,,,,,,
16578,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0
16580,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16581,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
16582,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16583,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,
16584,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0
16585,,,,,,,,,,,,,,,,,,,,,,,,,,
16586,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,
16587,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
16588,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
16589,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
16590,,,,,,,,,,,,,,,,,,,,,,,,,,
16592,,,,,,,,,,,,,,,,,,,,,,,,,,
16593,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,
16596,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16598,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
16600,,,,,,,,,,,,,,,,,,,,,,,,,,
16601,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,
16602,,,,,,,,,,,,,,,,,,,,,,,,,,
16604,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16605,,,,,,,,,,,,,,,,,,,,,,,,,,
16607,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16608,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,
16610,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0
16614,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
16615,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,
16616,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0
16618,,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0
16619,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
16620,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16621,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
16622,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16623,,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,
16624,,,,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,1.0
16625,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
16626,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
16628,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
16629,,,,,,,,,,,,,,,,,,,,,,,,,,
16631,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16633,,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,
16635,,,,,,,,,,,,,,,,,,,,,,,,,,
16636,,,,,,,,,,,,,,,,,,,,,,,,,,
16637,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,
16638,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
16640,,,,,,,,,,,,,,,,,,,,,,,,,,
16641,,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0
16642,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0
16643,,,,,,,,,,,,,,,,,,,,,,,,,,
16645,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,
16646,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,
16648,,,,,,,,,,,,,,,,,,,,,,,,,,
16649,,,,,,,,,,,,,,,,,,,,,,,,,,
16650,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16651,,,,,,,,,,,,,,,,,,,,,,,,,,
16653,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0
16654,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,
16655,,,,,,,,,,,,,,,,,,,,,,,,,,
16656,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16657,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,
16659,,,,,,,,,,,,,,,,,,,,,,,,,,
16661,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
16662,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,
16666,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16668,,,,,,,,,,,,,,,,,,,,,,,,,,
16669,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0
16670,,,,,,,,,,,,,,,,,,,,,,,,,,
16671,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
16672,,,,,,,,,,,,,,,,,,,,,,,,,,
16673,,,,,,,,,,,,,,,,,,,,,,,,,,
16674,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16675,,,,,,,,,,,,,,,,,,,,,,,,,,
16677,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,
16678,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
16679,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,
16680,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
16681,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
16682,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,
16685,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,
16686,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,
16687,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
16689,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,
16692,,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,
16693,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,
16694,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
16695,,,,,,,,,,,,,,,,,,,,,,,,,,
16696,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,
16697,,,,,,,,,,,,,,,,,,,,,,,,,,
16699,,,,,,,,,,,,,,,,,,,,,,,,,,
16700,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
16701,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
16702,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16705,,,,,,,,,,,,,,,,,,,,,,,,,,
16706,,,,,,,,,,,,,,,,,,,,,,,,,,
16707,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16708,,,,,,,,,,,,,,,,,,,,,,,,,,
16709,,,,,,,,,,,,,,,,,,,,,,,,,,
16710,,,,,,,,,,,,,,,,,,,,,,,,,,
16711,,,,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,,
16713,,,,,,,,,,,,,,,,,,,,,,,,,,
16714,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,
16715,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,1.0
16716,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
16718,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16719,,,,,,,,,,,,,,,,,,,,,,,,,,
16721,,,,,,,,,,,,,,,,,,,,,,,,,,
16722,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,
16723,,,,,,,,,,,,,,,,,,,,,,,,,,
16724,,,,,,,,,,,,,,,,,,,,,,,,,,
16725,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16729,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0
16730,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
16731,,,,,,,,,,,,,,,,,,,,,,,,,,
16732,,,,,,,,,,,,,,,,,,,,,,,,,,
16734,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
16735,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,
16736,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16737,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,
16738,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,
16739,,,,,,,,,,,,,,,,,,,,,,,,,,
16740,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16741,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
16742,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,
16743,,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0
16744,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
16745,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
16747,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16748,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16749,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,
16750,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16751,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,1.0
16752,,,,,,,,,,,,,,,,,,,,,,,,,,
16755,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
16757,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0
16760,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0
16761,,,,,,,,,,,,,,,,,,,,,,,,,,
16762,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16763,,,,,,,,,,,,,,,,,,,,,,,,,,
16764,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
16765,,,,,,,,,,,,,,,,,,,,,,,,,,
16766,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,,
16767,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,
16769,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16770,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,
16771,,,,,,,,,,,,,,,,,,,,,,,,,,
16773,,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,
16775,,,,,,,,,,,,,,,,,,,,,,,,,,
16776,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
16777,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
16778,,,,,,,,,,,,,,,,,,,,,,,,,,
16781,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
16782,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,
16783,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
16784,,,,,,,,,,,,,,,,,,,,,,,,,,
16786,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,
16787,,,,,,,,,,,,,,,,,,,,,,,,,,
16789,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,
16790,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,1.0
16791,,,,,,,,,,,,,,,,,,,,,,,,,,
16792,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,
16793,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0
16795,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16796,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
16798,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16799,,,,,,,,,,,,,,,,,,,,,,,,,,
16800,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,
16801,,,,,,,,,,,,,,,,,,,,,,,,,,
16803,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
16804,,,,,1.0,,,,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,,
16805,,,,,,,,,,,,,,,,,,,,,,,,,,
16806,,1.0,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,
16807,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
